"id","device_id","fix","hdop","latitude","longitude","velocity","heart_rate","acc_x","acc_y","acc_z","quat_w","quat_x","quat_y","quat_z","device_date","db_date"
40591,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:00.799+00","2021-06-02 12:58:24.100507+00"
40590,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:58.799+00","2021-06-02 12:58:21.873017+00"
40589,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:57.799+00","2021-06-02 12:58:20.908077+00"
40588,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:55.799+00","2021-06-02 12:58:19.620807+00"
40587,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:54.799+00","2021-06-02 12:58:18.656393+00"
40586,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:53.799+00","2021-06-02 12:58:17.708331+00"
40585,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:52.799+00","2021-06-02 12:58:16.419085+00"
40584,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:51.799+00","2021-06-02 12:58:15.471578+00"
40583,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:50.799+00","2021-06-02 12:58:14.207326+00"
40582,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:49.799+00","2021-06-02 12:58:13.226582+00"
40581,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:48.799+00","2021-06-02 12:58:12.233221+00"
40580,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:47.799+00","2021-06-02 12:58:10.953369+00"
40579,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:46.799+00","2021-06-02 12:58:10.037013+00"
40578,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:45.799+00","2021-06-02 12:58:08.725856+00"
40577,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:43.799+00","2021-06-02 12:58:07.743424+00"
40576,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:42.799+00","2021-06-02 12:58:06.83346+00"
40575,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:41.799+00","2021-06-02 12:58:05.557086+00"
40574,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:40.799+00","2021-06-02 12:58:04.567718+00"
40573,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:39.799+00","2021-06-02 12:58:03.287591+00"
40572,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:38.799+00","2021-06-02 12:58:02.344603+00"
40571,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:13:37.799+00","2021-06-02 12:58:01.410975+00"
